Time,Open,High,Low,Close,Volume
"Nov 01, 2017",67.56,67.78,66.52,66.99,"2,168,700"
"Oct 31, 2017",66.68,67.83,66.51,67.30,"1,496,200"
"Oct 30, 2017",66.74,66.83,65.61,66.34,"1,097,800"
"Oct 27, 2017",67.20,67.47,66.50,66.65,"1,579,100"
"Oct 26, 2017",65.24,66.72,65.10,66.67,"1,362,500"
"Oct 25, 2017",66.19,66.31,64.76,65.14,"1,247,000"
"Oct 24, 2017",64.33,65.70,63.85,65.41,"1,455,900"
"Oct 23, 2017",64.85,65.20,64.01,64.23,"1,002,500"
"Oct 20, 2017",63.90,64.58,63.71,64.09,"830,500"
"Oct 19, 2017",62.58,63.61,62.39,63.58,"1,677,600"
"Oct 18, 2017",64.03,64.35,63.26,63.28,"1,326,600"
"Oct 17, 2017",64.31,64.97,63.97,63.97,"2,619,000"
"Oct 16, 2017",63.80,64.30,63.47,64.27,"1,857,100"
"Oct 13, 2017",63.59,63.86,63.13,63.55,"1,808,700"
"Oct 12, 2017",63.47,63.75,62.81,63.49,"1,855,200"
"Oct 11, 2017",64.02,64.50,63.28,63.48,"1,559,200"
"Oct 10, 2017",65.83,66.31,63.14,63.81,"3,396,100"
"Oct 09, 2017",67.14,67.14,65.43,65.53,"1,105,800"
"Oct 06, 2017",66.05,66.90,66.04,66.85,"816,100"
"Oct 05, 2017",66.37,66.53,65.88,66.43,"1,019,400"
"Oct 04, 2017",65.26,66.27,64.64,65.95,"2,426,100"
"Oct 03, 2017",66.18,66.72,65.38,65.52,"2,133,100"
"Oct 02, 2017",64.78,67.36,64.50,66.40,"2,041,800"
"Sep 29, 2017",67.00,67.32,66.25,66.43,"2,100,700"
"Sep 28, 2017",67.37,67.58,66.72,67.07,"1,160,200"
"Sep 27, 2017",67.17,68.00,66.98,67.23,"1,160,000"
"Sep 26, 2017",68.24,68.40,66.82,66.99,"1,321,600"
"Sep 25, 2017",69.46,69.61,66.88,67.90,"1,880,500"
"Sep 22, 2017",68.49,69.61,68.07,69.53,"1,607,200"
"Sep 21, 2017",68.69,68.82,67.25,68.49,"1,627,800"
"Sep 20, 2017",68.00,69.20,66.85,68.94,"3,485,400"
"Sep 19, 2017",68.59,68.61,68.01,68.25,"702,500"
"Sep 18, 2017",67.47,68.50,67.47,68.49,"1,448,400"
"Sep 15, 2017",67.53,67.72,66.96,67.22,"1,281,900"
"Sep 14, 2017",67.00,67.98,66.50,67.95,"1,380,600"
"Sep 13, 2017",67.47,67.94,67.00,67.38,"1,647,200"
"Sep 12, 2017",68.20,68.20,67.45,67.98,"1,145,800"
"Sep 11, 2017",67.65,68.49,67.40,68.21,"1,499,400"
"Sep 08, 2017",68.48,68.76,67.12,67.18,"1,104,500"
"Sep 07, 2017",68.14,68.85,67.99,68.42,"1,412,800"
"Sep 06, 2017",67.45,68.08,66.95,67.99,"1,598,300"
"Sep 05, 2017",68.34,68.44,66.61,67.33,"1,947,000"
"Sep 01, 2017",67.00,67.65,66.76,67.40,"1,429,300"
"Aug 31, 2017",65.99,67.16,65.68,67.09,"1,684,000"
"Aug 30, 2017",64.16,65.71,64.10,65.60,"1,079,800"
"Aug 29, 2017",63.35,65.15,63.20,64.38,"1,713,400"
"Aug 28, 2017",65.00,65.50,63.64,64.48,"2,470,300"
"Aug 25, 2017",66.56,67.54,64.90,65.39,"8,358,100"
"Aug 24, 2017",60.68,61.36,60.10,60.28,"2,653,000"
"Aug 23, 2017",60.34,60.76,59.85,60.33,"1,356,600"
"Aug 22, 2017",60.17,61.15,60.17,60.34,"1,617,800"
"Aug 21, 2017",59.20,60.05,59.08,59.90,"810,800"
"Aug 18, 2017",59.04,59.83,58.60,59.33,"766,400"
"Aug 17, 2017",60.62,60.92,59.10,59.16,"1,450,100"
"Aug 16, 2017",58.37,61.05,58.31,60.76,"1,723,300"
"Aug 15, 2017",58.65,58.93,57.42,58.26,"815,000"
"Aug 14, 2017",58.78,59.38,58.56,58.60,"1,157,900"
"Aug 11, 2017",56.81,58.36,56.81,58.20,"1,057,300"
"Aug 10, 2017",58.68,58.68,56.80,56.83,"1,218,700"
"Aug 09, 2017",58.55,59.13,58.46,58.82,"741,000"
"Aug 08, 2017",58.86,59.47,58.46,58.89,"958,200"
"Aug 07, 2017",59.90,59.90,58.91,58.99,"980,300"
"Aug 04, 2017",59.49,60.02,59.10,59.75,"626,700"
"Aug 03, 2017",58.98,59.80,58.76,59.40,"1,164,300"
"Aug 02, 2017",60.54,60.57,58.39,58.57,"1,116,100"
"Aug 01, 2017",60.38,60.55,59.80,60.19,"927,900"
"Jul 31, 2017",60.22,60.50,59.45,60.01,"1,209,100"
"Jul 28, 2017",60.33,60.51,59.89,60.06,"1,343,100"
"Jul 27, 2017",62.20,62.20,59.05,60.33,"1,211,400"
"Jul 26, 2017",61.78,62.11,61.30,62.06,"751,300"
"Jul 25, 2017",61.23,61.87,60.55,61.48,"617,300"
"Jul 24, 2017",61.16,61.37,60.82,61.30,"845,000"
"Jul 21, 2017",61.22,61.38,60.72,61.06,"664,200"
"Jul 20, 2017",62.02,62.13,61.11,61.56,"1,634,300"
"Jul 19, 2017",61.16,62.30,61.16,61.95,"1,819,100"
"Jul 18, 2017",59.98,60.95,59.90,60.83,"1,024,500"
"Jul 17, 2017",59.94,60.47,59.69,60.07,"2,306,000"
"Jul 14, 2017",60.20,60.56,59.56,59.84,"994,500"
"Jul 13, 2017",60.97,61.21,60.23,60.38,"1,840,800"
"Jul 12, 2017",59.20,61.66,58.65,60.74,"2,807,500"
"Jul 11, 2017",57.66,59.05,57.48,58.50,"1,482,800"
"Jul 10, 2017",57.43,58.14,57.08,57.62,"1,214,000"
"Jul 07, 2017",56.46,57.37,56.31,57.25,"863,600"
"Jul 06, 2017",56.16,56.84,55.97,56.27,"1,054,900"
"Jul 05, 2017",56.26,56.98,55.97,56.48,"906,100"
"Jul 03, 2017",57.34,57.53,56.13,56.40,"777,200"
"Jun 30, 2017",57.70,57.82,56.86,56.89,"1,333,700"
"Jun 29, 2017",57.01,57.90,56.35,57.78,"3,341,900"
"Jun 28, 2017",56.53,57.50,56.18,57.06,"2,481,500"
"Jun 27, 2017",57.54,57.54,55.92,56.09,"1,805,200"
"Jun 26, 2017",58.44,59.29,57.67,57.82,"1,202,500"
"Jun 23, 2017",58.78,59.09,58.28,58.43,"1,845,700"
"Jun 22, 2017",58.26,59.08,58.07,58.83,"1,643,100"
"Jun 21, 2017",57.24,58.02,56.71,57.13,"1,623,400"
"Jun 20, 2017",57.60,57.80,56.84,56.92,"1,371,200"
"Jun 19, 2017",57.94,58.25,57.27,57.78,"1,222,300"
"Jun 16, 2017",57.68,58.66,57.19,57.50,"2,095,400"
"Jun 15, 2017",54.31,58.08,54.17,57.74,"2,968,300"
"Jun 14, 2017",58.21,58.51,56.64,57.60,"1,628,500"
"Jun 13, 2017",58.15,58.89,57.68,58.09,"2,135,500"
"Jun 12, 2017",57.43,57.81,55.21,57.81,"4,046,700"
"Jun 09, 2017",61.47,61.79,57.68,58.27,"3,025,700"
"Jun 08, 2017",61.52,61.69,60.98,61.42,"1,760,000"
"Jun 07, 2017",62.78,62.93,61.05,61.53,"1,535,400"
"Jun 06, 2017",62.38,63.56,62.16,62.87,"1,146,100"
"Jun 05, 2017",62.51,63.00,62.36,62.56,"1,433,300"
"Jun 02, 2017",61.46,62.76,61.37,62.51,"1,467,300"
"Jun 01, 2017",61.59,62.00,60.94,61.60,"1,630,200"
"May 31, 2017",61.84,61.84,60.69,61.24,"1,593,800"
"May 30, 2017",62.40,63.20,60.52,61.60,"3,772,700"
"May 26, 2017",63.45,63.90,61.60,62.41,"10,078,200"
"May 25, 2017",66.60,67.67,66.35,67.09,"3,546,100"
"May 24, 2017",66.91,67.09,65.69,66.17,"1,751,900"
"May 23, 2017",66.99,67.30,65.35,66.43,"1,333,400"
